,User_ID,first_listen_date,last_listen_date,avg_duration_per_listen,std_avg_duration_per_listen,listen_cnt,total_listen_minute,listen_week_cnt,bias_listen_week_cnt,min_purchase_date,max_purchase_date,order_cnt,revenue,order_week_cnt,bias_order_week_cnt,Density,signup_date,Recency,Frequency,Monetary,last_active_date,life_week_cnt
27,40901,2020-07-01,2020-11-02,22.71967213114754,21.497176711312047,61.0,1385.8999999999999,18.0,27.0,,,,,,,22.71967213114754,2020-07-01,59,3.388888888888889,0.0,2020-11-02,18.0
28,40903,2020-07-23,2020-09-14,12.059375000000003,12.179990449040167,32.0,385.9000000000001,8.0,23.0,,,,,,,12.059375000000003,2020-07-01,108,4.0,0.0,2020-09-14,11.0
29,40905,2020-08-12,2020-09-02,6.924137931034481,7.004266820630214,29.0,200.79999999999993,3.0,21.0,,,,,,,6.924137931034481,2020-07-01,120,9.666666666666666,0.0,2020-09-02,9.0
30,40907,2020-07-01,2020-07-01,0.55,0.07071067811865478,2.0,1.1,1.0,27.0,,,,,,,0.55,2020-07-01,183,2.0,0.0,2020-07-01,1.0
31,40910,2020-07-18,2020-07-20,12.717391304347826,12.653489713607353,46.0,585.0,1.0,24.0,,,,,,,12.717391304347826,2020-07-02,164,46.0,0.0,2020-07-20,3.0
32,40911,2020-07-02,2020-07-05,26.76923076923077,21.279920474113982,26.0,696.0,1.0,26.0,,,,,,,26.76923076923077,2020-07-02,179,26.0,0.0,2020-07-05,1.0
33,40912,2020-08-10,2020-08-10,0.8,0.6819090848492928,5.0,4.0,1.0,21.0,,,,,,,0.8,2020-07-02,143,5.0,0.0,2020-08-10,6.0
34,40915,2020-07-11,2020-07-12,2.6,0.0,2.0,5.2,1.0,25.0,,,,,,,2.6,2020-07-02,172,2.0,0.0,2020-07-12,2.0
35,40925,2020-07-16,2020-07-16,0.6333333333333333,0.9237604307034012,3.0,1.9,1.0,24.0,,,,,,,0.6333333333333333,2020-07-02,168,3.0,0.0,2020-07-16,2.0
36,40928,2020-07-02,2020-12-20,7.218292682926828,7.641942873133906,82.0,591.8999999999999,25.0,26.0,,,,,,,7.218292682926828,2020-07-02,11,3.28,0.0,2020-12-20,25.0
37,40929,2020-07-02,2020-09-24,8.741935483870966,7.56821309572911,31.0,270.99999999999994,12.0,26.0,,,,,,,8.741935483870966,2020-07-02,98,2.5833333333333335,0.0,2020-09-24,12.0
38,40932,2020-07-06,2020-07-07,9.46,11.629292516935175,10.0,94.60000000000001,1.0,26.0,,,,,,,9.46,2020-07-02,177,10.0,0.0,2020-07-07,1.0
39,40933,2020-07-02,2020-07-02,2.2666666666666666,1.5885003409925138,3.0,6.8,1.0,26.0,,,,,,,2.2666666666666666,2020-07-02,182,3.0,0.0,2020-07-02,1.0
40,40937,2020-07-29,2020-08-25,1.5333333333333332,2.482606157515391,3.0,4.6,4.0,23.0,,,,,,,1.5333333333333332,2020-07-02,128,0.75,0.0,2020-08-25,8.0
41,40939,2020-07-07,2020-07-16,5.286666666666667,6.522035907671191,15.0,79.30000000000001,2.0,26.0,,,,,,,5.286666666666667,2020-07-02,168,7.5,0.0,2020-07-16,2.0
42,40940,2020-09-11,2020-12-15,6.458620689655172,9.109160116583562,29.0,187.29999999999998,14.0,16.0,,,,,,,6.458620689655172,2020-07-02,16,2.0714285714285716,0.0,2020-12-15,24.0
43,40941,2020-07-02,2020-08-27,12.558695652173913,10.744747059469603,46.0,577.7,8.0,26.0,,,,,,,12.558695652173913,2020-07-02,126,5.75,0.0,2020-08-27,8.0
44,40942,2020-07-16,2020-07-16,2.3,,1.0,2.3,1.0,24.0,,,,,,,2.3,2020-07-02,168,1.0,0.0,2020-07-16,2.0
45,40943,2020-09-10,2020-09-10,4.9799999999999995,6.964337728743488,5.0,24.9,1.0,16.0,,,,,,,4.9799999999999995,2020-07-02,112,5.0,0.0,2020-09-10,10.0
46,40955,2020-07-05,2020-07-21,13.13939393939394,10.399727742648464,33.0,433.6,3.0,26.0,,,,,,,13.13939393939394,2020-07-02,163,11.0,0.0,2020-07-21,3.0
47,40959,2020-07-17,2020-07-17,15.93548387096774,14.192851449164982,31.0,493.99999999999994,1.0,24.0,,,,,,,15.93548387096774,2020-07-02,167,31.0,0.0,2020-07-17,3.0
48,40963,2020-09-25,2020-09-25,0.8666666666666666,1.2503332889007366,3.0,2.5999999999999996,1.0,14.0,,,,,,,0.8666666666666666,2020-07-02,97,3.0,0.0,2020-09-25,13.0
49,40968,2020-07-02,2020-07-11,23.22631578947368,14.796540215171293,19.0,441.29999999999995,2.0,26.0,,,,,,,23.22631578947368,2020-07-02,173,9.5,0.0,2020-07-11,2.0
50,40970,2020-07-07,2020-07-07,9.9,9.372655262339839,4.0,39.6,1.0,26.0,,,,,,,9.9,2020-07-02,177,4.0,0.0,2020-07-07,1.0
51,40975,2020-07-02,2020-07-02,2.45,3.181980515339464,2.0,4.9,1.0,26.0,,,,,,,2.45,2020-07-02,182,2.0,0.0,2020-07-02,1.0
52,40977,2020-07-02,2020-07-02,2.2,2.1322914122292635,4.0,8.8,1.0,26.0,,,,,,,2.2,2020-07-02,182,4.0,0.0,2020-07-02,1.0
53,40978,2020-08-15,2020-09-29,1.3666666666666665,0.23094010767585024,3.0,4.1,7.0,20.0,,,,,,,1.3666666666666665,2020-07-02,93,0.42857142857142855,0.0,2020-09-29,13.0
54,40981,2020-07-03,2020-11-13,10.208163265306121,7.146614487955523,49.0,500.19999999999993,19.0,26.0,,,,,,,10.208163265306121,2020-07-03,48,2.5789473684210527,0.0,2020-11-13,19.0
55,40985,2020-07-03,2020-09-18,1.8,0.42426406871192857,2.0,3.6,11.0,26.0,,,,,,,1.8,2020-07-03,104,0.18181818181818182,0.0,2020-09-18,11.0
56,40986,2020-07-19,2020-07-24,10.30909090909091,9.777033783842091,22.0,226.8,1.0,24.0,,,,,,,10.30909090909091,2020-07-03,160,22.0,0.0,2020-07-24,3.0
57,40989,2020-07-03,2020-09-18,16.918253968253968,20.30047645073839,126.0,2131.7,11.0,26.0,,,,,,,16.918253968253968,2020-07-03,104,11.454545454545455,0.0,2020-09-18,11.0
58,40990,2020-07-17,2020-07-21,6.822580645161288,15.85199692315176,31.0,211.49999999999994,1.0,24.0,,,,,,,6.822580645161288,2020-07-03,163,31.0,0.0,2020-07-21,3.0
59,40994,2020-07-03,2020-07-03,27.4,,1.0,27.4,1.0,26.0,,,,,,,27.4,2020-07-03,181,1.0,0.0,2020-07-03,1.0
60,41000,2020-07-16,2020-08-20,10.128421052631579,8.481778506265021,95.0,962.2,5.0,24.0,,,,,,,10.128421052631579,2020-07-03,133,19.0,0.0,2020-08-20,7.0
61,41003,2020-10-15,2020-12-20,11.452702702702702,9.277252158462295,148.0,1694.9999999999998,10.0,11.0,2020-10-27,2020-10-27,1.0,599000.0,0.0,9.285714285714286,11.452702702702702,2020-07-03,11,14.8,23960.0,2020-12-20,25.0
62,41007,2020-07-19,2020-09-17,14.38533333333333,15.221929903924796,225.0,3236.6999999999994,9.0,24.0,,,,,,,14.38533333333333,2020-07-03,105,25.0,0.0,2020-09-17,11.0
63,41013,2020-07-22,2020-12-02,3.9976190476190476,7.34154526484213,42.0,167.9,19.0,24.0,,,,,,,3.9976190476190476,2020-07-03,29,2.210526315789474,0.0,2020-12-02,22.0
64,41014,2020-07-05,2020-12-06,14.316513761467883,12.997524791150358,109.0,1560.4999999999993,22.0,26.0,2020-07-14,2020-10-15,2.0,398000.0,13.285714285714286,24.285714285714285,14.316513761467883,2020-07-03,25,4.954545454545454,17304.347826086956,2020-12-06,23.0
65,41016,2020-08-05,2020-09-18,18.635,27.904374714462392,40.0,745.4000000000001,7.0,22.0,,,,,,,18.635,2020-07-03,104,5.714285714285714,0.0,2020-09-18,11.0
66,41020,2020-07-06,2020-07-14,28.66666666666666,27.78772299091107,69.0,1977.9999999999995,2.0,26.0,,,,,,,28.66666666666666,2020-07-03,170,34.5,0.0,2020-07-14,2.0
67,41037,2020-10-19,2020-11-25,1.02,0.5357238094391549,5.0,5.1,6.0,11.0,,,,,,,1.02,2020-07-03,36,0.8333333333333334,0.0,2020-11-25,21.0
68,41038,2020-07-07,2020-11-04,2.0818181818181816,4.17104739407698,11.0,22.9,18.0,26.0,,,,,,,2.0818181818181816,2020-07-03,57,0.6111111111111112,0.0,2020-11-04,18.0
69,41043,2020-08-04,2020-08-04,0.3,,1.0,0.3,1.0,22.0,,,,,,,0.3,2020-07-03,149,1.0,0.0,2020-08-04,5.0
70,41055,2020-07-03,2020-07-03,0.6,,1.0,0.6,1.0,26.0,,,,,,,0.6,2020-07-03,181,1.0,0.0,2020-07-03,1.0
71,41056,2020-07-03,2020-07-03,1.9666666666666668,2.193931022920578,3.0,5.9,1.0,26.0,,,,,,,1.9666666666666668,2020-07-03,181,3.0,0.0,2020-07-03,1.0
72,41057,2020-07-03,2020-12-26,16.252131147540975,21.09966428380262,610.0,9913.799999999996,26.0,26.0,2020-10-20,2020-10-20,1.0,599000.0,0.0,10.285714285714286,16.252131147540975,2020-07-03,5,23.46153846153846,23038.46153846154,2020-12-26,26.0
73,41058,2020-07-23,2020-07-26,0.275,0.20615528128088303,4.0,1.1,1.0,23.0,,,,,,,0.275,2020-07-03,158,4.0,0.0,2020-07-26,4.0
74,41059,2020-07-04,2020-10-31,7.015384615384615,11.464281206850414,13.0,91.2,17.0,26.0,,,,,,,7.015384615384615,2020-07-03,61,0.7647058823529411,0.0,2020-10-31,18.0
75,41061,2020-07-19,2020-07-19,3.17948717948718,5.318348550917082,39.0,124.00000000000003,1.0,24.0,,,,,,,3.17948717948718,2020-07-03,165,39.0,0.0,2020-07-19,3.0
76,41070,2020-07-03,2020-07-31,3.542857142857143,4.969555665900476,14.0,49.6,4.0,26.0,,,,,,,3.542857142857143,2020-07-03,153,3.5,0.0,2020-07-31,4.0
77,41087,2020-07-17,2020-12-31,4.444360902255641,5.399711181022535,133.0,591.1000000000004,24.0,24.0,,,,,,,4.444360902255641,2020-07-03,0,5.541666666666667,0.0,2020-12-31,26.0
78,41094,2020-07-18,2020-12-07,8.044574780058657,11.804481011506143,341.0,2743.200000000002,21.0,24.0,2020-10-13,2020-10-13,1.0,199000.0,0.0,11.285714285714286,8.044574780058657,2020-07-03,24,16.238095238095237,8652.173913043478,2020-12-07,23.0
