,User_ID,min_purchase_date,max_purchase_date,first_listen_date,last_listen_date,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,1_listen_my,signup_date,signup_my,change_status_my,cnt_07/2020,cnt_08/2020,cnt_09/2020,cnt_10/2020,cnt_11/2020,cnt_12/2020,F_07/2020,F_08/2020,F_09/2020,F_10/2020,F_11/2020,F_12/2020,ST_07/2020,ST_08/2020,ST_09/2020,ST_10/2020,ST_11/2020,ST_12/2020,ST_start
28,40903,,,2020-07-23,2020-09-14,19.0,10.0,3.0,0.0,0.0,0.0,07/2020,2020-07-01,07/2020,,19.0,10.0,3.0,,,,0.0,0.0,0.0,,,,0,0,0,0,0,0,0
29,40905,,,2020-08-12,2020-09-02,0.0,24.0,5.0,0.0,0.0,0.0,08/2020,2020-07-01,07/2020,,,24.0,5.0,,,,,0.0,0.0,,,,0,0,0,0,0,0,0
30,40907,,,2020-07-01,2020-07-01,2.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-01,07/2020,,2.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
31,40910,,,2020-07-18,2020-07-20,46.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-02,07/2020,,46.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
32,40911,,,2020-07-02,2020-07-05,26.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-02,07/2020,,26.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
33,40912,,,2020-08-10,2020-08-10,0.0,5.0,0.0,0.0,0.0,0.0,08/2020,2020-07-02,07/2020,,,5.0,,,,,,0.0,,,,,0,0,0,0,0,0,0
34,40915,,,2020-07-11,2020-07-12,2.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-02,07/2020,,2.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
35,40925,,,2020-07-16,2020-07-16,3.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-02,07/2020,,3.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
36,40928,,,2020-07-02,2020-12-20,51.0,0.0,0.0,17.0,12.0,2.0,07/2020,2020-07-02,07/2020,,51.0,,,17.0,12.0,2.0,0.0,,,0.0,0.0,0.0,0,0,0,0,0,0,0
37,40929,,,2020-07-02,2020-09-24,3.0,18.0,10.0,0.0,0.0,0.0,07/2020,2020-07-02,07/2020,,3.0,18.0,10.0,,,,0.0,0.0,0.0,,,,0,0,0,0,0,0,0
38,40932,,,2020-07-06,2020-07-07,10.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-02,07/2020,,10.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
39,40933,,,2020-07-02,2020-07-02,3.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-02,07/2020,,3.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
40,40937,,,2020-07-29,2020-08-25,2.0,1.0,0.0,0.0,0.0,0.0,07/2020,2020-07-02,07/2020,,2.0,1.0,,,,,0.0,0.0,,,,,0,0,0,0,0,0,0
41,40939,,,2020-07-07,2020-07-16,15.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-02,07/2020,,15.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
