,User_ID,type_user,Recency,Frequency,Density,RecencyCluster,FrequencyCluster,DensityCluster,ClusterCode
96,41546,free,154,1.3,6.6230769230769235,0,0,0,000
97,41557,free,175,2.0,0.5,0,0,0,000
98,41559,free,120,0.3793103448275862,5.109090909090909,0,0,0,000
99,41563,free,135,0.3,2.6999999999999997,0,0,0,000
100,41572,free,175,1.0,2.2,0,0,0,000
101,41573,free,174,2.0,0.05,0,0,0,000
102,41579,free,114,0.7169811320754716,4.213157894736842,0,0,0,000
103,41584,free,141,0.2,2.2,0,0,0,000
104,41592,free,174,3.0,0.7000000000000001,0,0,0,000
105,41593,free,174,5.0,4.9,0,0,0,000
106,41603,free,159,1.8,9.714814814814813,0,0,0,000
107,41624,free,174,1.0,1.5,0,0,0,000
108,41629,free,153,0.3684210526315789,4.614285714285715,0,0,0,000
109,41632,free,174,1.0,0.5,0,0,0,000
110,41634,free,174,2.0,0.5,0,0,0,000
111,41642,free,166,4.0,6.1499999999999995,0,0,0,000
112,41643,free,167,1.0,0.1,0,0,0,000
113,41644,free,147,0.7058823529411765,4.541666666666667,0,0,0,000
114,41645,free,141,0.5454545454545454,10.144444444444444,0,0,0,000
115,41646,free,167,2.0,0.15000000000000002,0,0,0,000
116,41662,free,136,0.5714285714285714,5.824999999999999,0,0,0,000
117,41679,free,170,1.0,0.39999999999999997,0,0,0,000
118,41698,free,173,1.0,0.7,0,0,0,000
119,41708,free,114,0.3023255813953488,3.5846153846153848,0,0,0,000
120,41717,free,173,4.0,0.275,0,0,0,000
121,41718,free,173,3.0,1.2,0,0,0,000
122,41721,free,159,1.5,10.185714285714287,0,0,0,000
123,41722,free,143,0.06666666666666667,1.1,0,0,0,000
124,41733,free,136,0.8387096774193549,3.896153846153846,0,0,0,000
125,41739,free,173,1.0,0.2,0,0,0,000
126,41741,free,173,1.0,3.6,0,0,0,000
127,41748,free,173,6.0,2.4499999999999997,0,0,0,000
128,41754,free,173,2.0,2.5,0,0,0,000
129,41756,free,172,1.0,1.9,0,0,0,000
130,41765,free,172,5.0,3.28,0,0,0,000
131,41766,free,167,2.4,6.408333333333332,0,0,0,000
132,41772,free,137,0.6923076923076923,2.6333333333333337,0,0,0,000
133,41785,free,161,4.0,4.425,0,0,0,000
134,41793,free,167,2.6,4.6000000000000005,0,0,0,000
135,41800,free,172,2.0,0.15,0,0,0,000
136,41801,free,108,2.0847457627118646,10.322764227642274,0,0,0,000
137,41807,free,152,2.0,8.1,0,0,0,000
138,41812,free,139,2.0,2.3499999999999996,0,0,0,000
139,41841,free,171,2.0,1.5,0,0,0,000
140,41849,free,163,1.0,1.7,0,0,0,000
141,41851,free,152,2.0,0.1,0,0,0,000
142,41852,free,133,0.45714285714285713,5.762500000000001,0,0,0,000
143,41854,free,165,2.0,0.30000000000000004,0,0,0,000
144,41858,free,171,4.0,1.875,0,0,0,000
145,41863,free,160,5.0,2.3,0,0,0,000
146,41870,free,170,6.0,0.4833333333333334,0,0,0,000
147,41872,free,168,3.0,5.966666666666666,0,0,0,000
148,41874,free,171,1.0,0.4,0,0,0,000
149,41875,free,136,1.1428571428571428,4.01,0,0,0,000
150,41876,free,171,2.0,8.5,0,0,0,000
151,41883,free,171,4.0,2.325,0,0,0,000
152,41887,free,148,3.0,5.166666666666667,0,0,0,000
153,41907,free,170,3.0,0.43333333333333335,0,0,0,000
154,41911,free,144,0.35714285714285715,2.78,0,0,0,000
155,41919,free,171,1.0,0.4,0,0,0,000
156,41920,free,141,0.2777777777777778,1.24,0,0,0,000
157,41926,free,150,1.3888888888888888,10.099999999999998,0,0,0,000
158,41937,free,170,4.0,9.9,0,0,0,000
159,41938,free,169,3.0,4.666666666666667,0,0,0,000
160,41946,free,170,1.0,0.3,0,0,0,000
161,41981,free,168,6.0,0.6333333333333334,0,0,0,000
162,41991,free,167,3.0,2.4666666666666663,0,0,0,000
163,41992,free,153,2.7,8.737037037037036,0,0,0,000
164,41995,free,169,2.0,0.55,0,0,0,000
165,41997,free,129,0.4,1.6,0,0,0,000
166,42000,free,146,0.19047619047619047,5.4750000000000005,0,0,0,000
167,42003,free,167,2.0,0.7000000000000001,0,0,0,000
168,42025,free,168,3.0,2.766666666666667,0,0,0,000
169,42031,free,167,1.0,3.4,0,0,0,000
170,42038,free,169,1.0,0.6,0,0,0,000
171,42048,free,137,0.8333333333333334,9.9,0,0,0,000
172,42051,free,156,1.0,8.9,0,0,0,000
173,42056,free,159,4.0,8.575000000000001,0,0,0,000
174,42076,free,122,5.0,4.1,0,0,0,000
175,42079,free,157,2.3333333333333335,7.028571428571429,0,0,0,000
176,42089,free,168,1.0,1.2,0,0,0,000
177,42098,free,168,2.0,1.9,0,0,0,000
178,42118,free,168,4.0,0.25,0,0,0,000
179,42121,free,129,1.0,5.0,0,0,0,000
180,42124,free,167,1.0,4.0,0,0,0,000
181,42135,free,168,3.0,2.966666666666667,0,0,0,000
182,42143,free,167,3.0,1.0,0,0,0,000
183,42153,free,158,2.0,3.3,0,0,0,000
184,42154,free,156,3.8,4.247368421052631,0,0,0,000
185,42157,free,164,2.0,1.4,0,0,0,000
186,42159,free,161,1.0,3.0,0,0,0,000
187,42164,free,165,4.0,3.366666666666667,0,0,0,000
188,42165,free,156,2.0,8.95,0,0,0,000
189,42169,free,167,2.0,0.6,0,0,0,000
190,42171,free,163,6.0,0.5499999999999999,0,0,0,000
191,42192,free,126,0.09523809523809523,1.425,0,0,0,000
192,42194,free,153,1.1818181818181819,9.084615384615383,0,0,0,000
193,42195,free,168,1.0,2.3,0,0,0,000
194,42197,free,161,2.0,1.45,0,0,0,000
195,42205,free,132,4.0,2.975,0,0,0,000
196,42206,free,167,5.0,0.31999999999999995,0,0,0,000
197,42217,free,167,1.0,1.3,0,0,0,000
198,42219,free,167,2.0,8.15,0,0,0,000
199,42224,free,111,0.16666666666666666,1.8,0,0,0,000
200,42226,free,110,1.0,10.0,0,0,0,000
201,42227,free,160,2.0,8.35,0,0,0,000
202,42230,free,131,2.04,4.088235294117647,0,0,0,000
203,42237,free,111,0.35555555555555557,2.8125000000000004,0,0,0,000
204,42240,free,153,0.7857142857142857,5.863636363636363,0,0,0,000
205,42241,free,156,5.0,6.659999999999999,0,0,0,000
