,frequenceCluster,count,mean,std,min,25%,50%,75%,max
0,0,104.0,52.5,30.166206257996713,1.0,26.75,52.5,78.25,104.0
1,1,102.0,155.61764705882354,29.770755840585302,105.0,130.25,155.5,180.75,207.0
2,2,86.0,259.48837209302326,31.990345670878124,208.0,232.25,256.5,284.75,319.0
3,3,53.0,385.3924528301886,37.962004532146274,324.0,350.0,383.0,426.6,426.6
