user_id,recency,frequency,monetary,R,F,M,RFM,,,R,F,M,#,segment,propotion
44626,119,7,450,1,1,1,111,,,,,,,,
44644,17,15,2461.538462,4,2,1,421,,,,,,,,
44673,133,8,1125,1,1,1,111,,,,,,,,
44684,54,20,175.78125,2,2,1,221,,,,,,,,
44758,31,29,39.21568627,3,3,1,331,,,,,,,,
44822,45,5,3200,3,1,1,311,,,,,,,,
44846,63,12,4503.759398,2,2,1,221,,,,,,,,
44868,13,19,1609.467456,4,2,1,421,,,,,,,,
44881,5,7,3344.537815,4,1,1,411,,,,,,,,
44884,126,10,10473.68421,1,1,1,111,,,,,,,,
44889,1,38,474.801061,4,3,1,431,,,,,,,,
44951,4,2,12744.68085,4,1,1,411,,,,,,,,
44980,45,3,400,3,1,1,311,,,,,,,,
45002,138,2,4500,1,1,1,111,,,,,,,,
45012,0,0,345000,4,1,2,412,,,,,,,,
45030,77,7,3015.151515,2,1,1,211,,,,,,,,
45039,136,11,818.1818182,1,2,1,121,,,,,,,,
45098,0,0,9000,4,1,1,411,,,,,,,,
45129,81,5,214.2857143,2,1,1,211,,,,,,,,
45214,28,2,9950,3,1,1,311,,,,,,,,
45215,13,9,4102.739726,4,1,1,411,,,,,,,,
45234,10,5,6239.583333,4,1,1,411,,,,,,,,
45239,2,11,43.90243902,4,2,1,421,,,,,,,,
45246,133,28,7107.142857,1,3,1,131,,,,,,,,
45250,22,4,8205.479452,3,1,1,311,,,,,,,,
45329,133,8,26000,1,1,1,111,,,,,,,,
45471,20,8,4750,3,1,1,311,,,,,,,,
45472,82,3,7960,2,1,1,211,,,,,,,,
45474,81,6,13021.73913,2,1,1,211,,,,,,,,
45475,1,15,2040.268456,4,2,1,421,,,,,,,,
45476,33,4,3372.881356,3,1,1,311,,,,,,,,
45477,124,25,180,1,2,1,121,,,,,,,,
45480,1,3,3015.151515,4,1,1,411,,,,,,,,
45481,100,6,900,1,1,1,111,,,,,,,,
45492,113,3,20875,1,1,1,111,,,,,,,,
45500,10,22,1002.518892,4,2,1,421,,,,,,,,
45504,4,4,9215.384615,4,1,1,411,,,,,,,,
45510,72,4,27058.82353,2,1,1,211,,,,,,,,
45553,9,10,1005.050505,4,1,1,411,,,,,,,,
45580,50,1,7842.105263,3,1,1,311,,,,,,,,
45593,1,4,5100,4,1,1,411,,,,,,,,
45628,9,6,5163.793103,4,1,1,411,,,,,,,,
45639,2,5,6582.417582,4,1,1,411,,,,,,,,
45647,1,1,2368.421053,4,1,1,411,,,,,,,,
45663,0,0,9000,4,1,1,411,,,,,,,,
45692,121,5,1800,1,1,1,111,,,,,,,,
45705,108,6,23960,1,1,1,111,,,,,,,,
45716,4,21,1559.895833,4,2,1,421,,,,,,,,
45718,2,12,651.6393443,4,2,1,421,,,,,,,,
45728,18,7,4753.968254,4,1,1,411,,,,,,,,
45735,31,3,49666.66667,3,1,1,311,,,,,,,,
45754,0,0,9000,4,1,1,411,,,,,,,,
45785,122,1,9000,1,1,1,111,,,,,,,,
45795,111,6,30615.38462,1,1,1,111,,,,,,,,
45803,84,4,2250,2,1,1,211,,,,,,,,
45836,1,16,621.875,4,2,1,421,,,,,,,,
45850,1,9,3346.368715,4,1,1,411,,,,,,,,
45857,76,6,8910.714286,2,1,1,211,,,,,,,,
45869,5,28,1031.088083,4,3,1,431,,,,,,,,
45907,31,4,3618.181818,3,1,1,311,,,,,,,,
45946,45,5,13731.34328,3,1,1,311,,,,,,,,
45960,126,5,2700,1,1,1,111,,,,,,,,
45962,88,1,99500,2,1,2,212,,,,,,,,
45972,7,11,1868.544601,4,2,1,421,,,,,,,,
45981,0,0,18000,4,1,1,411,,,,,,,,
45987,74,2,11055.55556,2,1,1,211,,,,,,,,
45988,98,4,18315.78947,1,1,1,111,,,,,,,,
45991,11,10,4267.379679,4,1,1,411,,,,,,,,
45997,126,14,14740.74074,1,2,1,121,,,,,,,,
46009,53,3,4853.658537,2,1,1,211,,,,,,,,
46012,81,13,1895.238095,2,2,1,221,,,,,,,,
46018,4,11,1851.162791,4,2,1,421,,,,,,,,
46019,53,1,37437.5,2,1,1,211,,,,,,,,
46023,4,14,737.037037,4,2,1,421,,,,,,,,
46029,64,16,1168.539326,2,2,1,221,,,,,,,,
46034,7,28,830.0395257,4,3,1,431,,,,,,,,
46040,3,21,987.5930521,4,2,1,421,,,,,,,,
46047,109,2,59900,1,1,1,111,,,,,,,,
46052,105,19,2189.473684,1,2,1,121,,,,,,,,
46055,8,11,1258.706468,4,2,1,421,,,,,,,,
46069,15,0,44222.22222,4,1,1,411,,,,,,,,
46075,3,3,4185.185185,4,1,1,411,,,,,,,,
46088,99,2,16583.33333,1,1,1,111,,,,,,,,
46089,60,3,20655.17241,2,1,1,211,,,,,,,,
46090,0,0,199000,4,1,2,412,,,,,,,,
46098,30,1,1125,3,1,1,311,,,,,,,,
46099,2,34,619.9376947,4,3,1,431,,,,,,,,
46108,109,12,8847.826087,1,2,1,121,,,,,,,,
46112,30,5,7986.666667,3,1,1,311,,,,,,,,
46118,6,1,16153.84615,4,1,1,411,,,,,,,,
46127,0,0,920000,4,1,3,413,,,,,,,,
46128,79,1,28428.57143,2,1,1,211,,,,,,,,
46134,135,6,1500,1,1,1,111,,,,,,,,
46135,1,8,7639.240506,4,1,1,411,,,,,,,,
46136,5,8,4074.829932,4,1,1,411,,,,,,,,
46149,1,6,1700.854701,4,1,1,411,,,,,,,,
46156,7,11,1868.544601,4,2,1,421,,,,,,,,
46160,130,40,225,1,3,1,131,,,,,,,,
46161,42,6,2287.356322,3,1,1,311,,,,,,,,
46162,125,27,10222.22222,1,3,1,131,,,,,,,,
46163,0,0,9000,4,1,1,411,,,,,,,,
46170,1,8,2109.677419,4,1,1,411,,,,,,,,
46171,91,0,3000,1,1,1,111,,,,,,,,
46180,1,19,1058.510638,4,2,1,421,,,,,,,,
46184,64,1,15900,2,1,1,211,,,,,,,,
46193,49,7,2802.816901,3,1,1,311,,,,,,,,
46203,38,1,529.4117647,3,1,1,311,,,,,,,,
46205,37,4,6982.45614,3,1,1,311,,,,,,,,
46219,27,9,2802.816901,3,1,1,311,,,,,,,,
46228,129,4,2250,1,1,1,111,,,,,,,,
46235,78,5,5545.454545,2,1,1,211,,,,,,,,
46246,3,17,1831.804281,4,2,1,421,,,,,,,,
46250,128,59,3372.881356,1,4,1,141,,,,,,,,
46251,70,5,833.3333333,2,1,1,211,,,,,,,,
46259,135,5,1800,1,1,1,111,,,,,,,,
46284,92,24,2802.816901,1,2,1,121,,,,,,,,
46295,43,11,4020.134228,3,2,1,321,,,,,,,,
46300,6,13,2396,4,2,1,421,,,,,,,,
46305,55,9,1970.29703,2,1,1,211,,,,,,,,
46309,132,15,600,1,2,1,121,,,,,,,,
46324,0,0,9000,4,1,1,411,,,,,,,,
46326,27,1,428.5714286,3,1,1,311,,,,,,,,
46345,4,36,875.7309942,4,3,1,431,,,,,,,,
46349,7,9,2223.463687,4,1,1,411,,,,,,,,
46374,135,5,1800,1,1,1,111,,,,,,,,
46396,134,1,9000,1,1,1,111,,,,,,,,
46427,3,10,2261.363636,4,1,1,411,,,,,,,,
46435,121,1,199000,1,1,2,112,,,,,,,,
46438,0,0,9000,4,1,1,411,,,,,,,,
46458,26,1,19900,3,1,1,311,,,,,,,,
46481,108,3,2454.545455,1,1,1,111,,,,,,,,
46546,115,1,4500,1,1,1,111,,,,,,,,
46549,0,0,9000,4,1,1,411,,,,,,,,
46571,129,26,692.3076923,1,3,1,131,,,,,,,,
46575,42,1,1200,3,1,1,311,,,,,,,,
46578,34,1,562.5,3,1,1,311,,,,,,,,
46591,129,17,2647.058824,1,2,1,121,,,,,,,,
46596,47,3,3000,3,1,1,311,,,,,,,,
46600,134,1,9000,1,1,1,111,,,,,,,,
46606,9,1,59428.57143,4,1,1,411,,,,,,,,
46614,130,21,428.5714286,1,2,1,121,,,,,,,,
46625,72,6,3754.716981,2,1,1,211,,,,,,,,
46626,63,11,1658.333333,2,2,1,221,,,,,,,,
46631,64,1,67555.55556,2,1,1,211,,,,,,,,
46639,107,9,4416.666667,1,1,1,111,,,,,,,,
46671,10,5,206.8965517,4,1,1,411,,,,,,,,
46680,16,8,1452.554745,4,1,1,411,,,,,,,,
46693,2,8,2601.30719,4,1,1,411,,,,,,,,
46698,9,9,2503.144654,4,1,1,411,,,,,,,,
46709,5,15,1358.361775,4,2,1,421,,,,,,,,
46710,29,1,12416.66667,3,1,1,311,,,,,,,,
46712,2,11,1932.038835,4,2,1,421,,,,,,,,
46717,103,7,7703.703704,1,1,1,111,,,,,,,,
46723,134,3,3000,1,1,1,111,,,,,,,,
46732,0,0,9000,4,1,1,411,,,,,,,,
46733,11,2,21512.82051,4,1,1,411,,,,,,,,
46736,109,18,2689.189189,1,2,1,121,,,,,,,,
46747,67,4,5102.564103,2,1,1,211,,,,,,,,
46754,129,8,24875,1,1,1,111,,,,,,,,
46766,1,60,347.5982533,4,4,1,441,,,,,,,,
46770,0,0,599000,4,1,3,413,,,,,,,,
46817,5,12,2055.793991,4,2,1,421,,,,,,,,
46824,8,9,2671.14094,4,1,1,411,,,,,,,,
46827,4,23,956.3218391,4,2,1,421,,,,,,,,
46831,2,5,5222.222222,4,1,1,411,,,,,,,,
46833,114,40,1644.628099,1,3,1,131,,,,,,,,
46853,79,6,99833.33333,2,1,2,212,,,,,,,,
46856,4,18,568.5714286,4,2,1,421,,,,,,,,
46864,0,0,69000,4,1,1,411,,,,,,,,
46872,4,13,2386.454183,4,2,1,421,,,,,,,,
46887,19,5,2511.111111,3,1,1,311,,,,,,,,
46889,3,2,4234.042553,4,1,1,411,,,,,,,,
46890,40,2,964.2857143,3,1,1,311,,,,,,,,
46899,21,3,9045.454545,3,1,1,311,,,,,,,,
46906,78,8,4968.75,2,1,1,211,,,,,,,,
46911,42,8,8518.518519,3,1,1,311,,,,,,,,
46926,41,9,1913.461538,3,1,1,311,,,,,,,,
46948,62,5,6627.118644,2,1,1,211,,,,,,,,
46959,4,5,2447.058824,4,1,1,411,,,,,,,,
46961,133,4,49750,1,1,1,111,,,,,,,,
47016,2,5,5544.444444,4,1,1,411,,,,,,,,
47033,38,19,636.3636364,3,2,1,321,,,,,,,,
47066,5,23,977.8869779,4,2,1,421,,,,,,,,
47077,24,14,932.735426,3,2,1,321,,,,,,,,
47091,1,4,1986.666667,4,1,1,411,,,,,,,,
47092,0,0,9000,4,1,1,411,,,,,,,,
47104,1,9,1137.142857,4,1,1,411,,,,,,,,
47128,1,4,2369.047619,4,1,1,411,,,,,,,,
47134,62,2,10400,2,1,1,211,,,,,,,,
47137,7,12,768.115942,4,2,1,421,,,,,,,,
47165,13,3,3316.666667,4,1,1,411,,,,,,,,
47184,12,18,486.2385321,4,2,1,421,,,,,,,,
47186,121,1,199000,1,1,2,112,,,,,,,,
47201,1,4,3316.666667,4,1,1,411,,,,,,,,
47240,10,22,1084.468665,4,2,1,421,,,,,,,,
47245,42,9,75.6302521,3,1,1,311,,,,,,,,
47268,115,8,74875,1,1,1,111,,,,,,,,
47271,129,13,12923.07692,1,2,1,121,,,,,,,,
47272,0,0,45000,4,1,1,411,,,,,,,,
47287,110,3,132666.6667,1,1,2,112,,,,,,,,
47304,132,1,599000,1,1,3,113,,,,,,,,
47307,4,5,6239.583333,4,1,1,411,,,,,,,,
47308,26,6,4234.042553,3,1,1,311,,,,,,,,
47327,56,4,3975,2,1,1,211,,,,,,,,
47350,124,8,529.4117647,1,1,1,111,,,,,,,,
47359,0,0,9000,4,1,1,411,,,,,,,,
47390,71,1,1285.714286,2,1,1,211,,,,,,,,
47440,7,20,1659.279778,4,2,1,421,,,,,,,,
47444,130,23,9000,1,2,1,121,,,,,,,,
47450,91,5,24958.33333,1,1,1,111,,,,,,,,
47461,1,7,4952,4,1,1,411,,,,,,,,
47483,113,3,900,1,1,1,111,,,,,,,,
47485,15,2,9933.333333,4,1,1,411,,,,,,,,
47490,105,8,18151.51515,1,1,1,111,,,,,,,,
47494,12,44,11.2640801,4,3,1,431,,,,,,,,
47554,115,9,7370.37037,1,1,1,111,,,,,,,,
47555,2,10,1257.731959,4,1,1,411,,,,,,,,
47557,0,0,9000,4,1,1,411,,,,,,,,
47559,24,17,871.4859438,3,2,1,321,,,,,,,,
47563,15,5,2211.111111,4,1,1,411,,,,,,,,
47584,4,1,24958.33333,4,1,1,411,,,,,,,,
47601,93,11,9359.375,1,2,1,121,,,,,,,,
47618,85,1,9000,2,1,1,211,,,,,,,,
